/*---------------------------------------------------------------------------*\
  =========                 |
  \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox
   \\    /   O peration     | Website:  https://openfoam.org
    \\  /    A nd           | Version:  dev
     \\/     M anipulation  |
\*---------------------------------------------------------------------------*/
Build  : dev-27a117d1f441
Exec   : equilibriumFlameT controlDict
Date   : Jan 16 2013
Time   : 15:40:39
Host   : "dm"
PID    : 4638
Case   : /home/dm2/henry/OpenFOAM/OpenFOAM-dev/applications/utilities/thermophysical/equilibriumFlameT
nProcs : 1
sigFpe : Enabling floating point exception trapping (FOAM_SIGFPE).
SetNaN : Initialising allocated memory to NaN (FOAM_SETNAN).
fileModificationChecking : Monitoring run-time modified files using timeStampMaster
allowSystemOperations : Allowing user-supplied system call operations

// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //

Reading thermodynamic data dictionary

Reading thermodynamic data for relevant species

stoichiometricAirFuelMassRatio stoichiometricAirFuelMassRatio [0 0 0 0 0 0 0] 34.0741;
Equilibrium flame temperature data (1 bar)

Phi          ft     T0         Tad         Teq      Terror   O2res (mole frac)
0.75   0.0215368   2800     4386.16     3328.72     1057.44    0.181425
0.75   0.0215368   2900     4482.59     3427.53     1055.06    0.181425
0.75   0.0215368   3000     4579.17     3526.39     1052.78    0.181425
0.8   0.0229397    300     2208.84     2198.55     10.2856   0.0368016
0.8   0.0229397    400     2289.76     2273.78     15.9817   0.0372748
0.8   0.0229397    500     2371.15     2347.32     23.8229   0.0379294
0.8   0.0229397    600     2453.21     2419.04     34.1694   0.0387973
0.8   0.0229397    700     2536.24     2488.92     47.3167    0.039905
0.8   0.0229397    800     2620.48     2557.01     63.4684   0.0412715
0.8   0.0229397    900     2706.03     2623.32     82.7038   0.0429054
0.8   0.0229397   1000     2792.71     2687.77     104.941   0.0448014
0.8   0.0229397   1100     2880.31     2750.32     129.984   0.0469441
0.8   0.0229397   1200     2968.83     2811.18     157.651   0.0493193
0.8   0.0229397   1300      3058.2     2870.49     187.709   0.0519078
0.8   0.0229397   1400     3148.36     2928.44     219.918     0.05469
0.8   0.0229397   1500     3239.24     2985.19     254.048   0.0576479
0.8   0.0229397   1600     3330.78     3040.84     289.946   0.0607847
0.8   0.0229397   1700     3422.93     3094.94     327.986   0.0642431
0.8   0.0229397   1800     3515.63     3144.62     371.018   0.0687801
0.8   0.0229397   1900     3608.84     3166.57     442.271   0.0796671
0.8   0.0229397   2000     3702.52     3123.82     578.694    0.102453
0.8   0.0229397   2100     3796.61     3062.37     734.239    0.126254
0.8   0.0229397   2200     3891.08     3012.82     878.258    0.146769
0.8   0.0229397   2300      3985.9     2969.95     1015.95    0.165648
0.8   0.0229397   2400     4081.02     2960.34     1120.68    0.179795
0.8   0.0229397   2500     4176.43     3058.81     1117.62    0.179795
0.8   0.0229397   2600     4272.08     3157.36     1114.72    0.179795
0.8   0.0229397   2700     4367.96     3255.99     1111.97    0.179795
0.8   0.0229397   2800     4464.03     3354.68     1109.35    0.179795
0.8   0.0229397   2900     4560.28     3453.43     1106.85    0.179795
0.8   0.0229397   3000     4656.69     3552.23     1104.46    0.179795
0.85   0.0243385    300     2290.86     2271.89     18.9685   0.0282998
0.85   0.0243385    400     2371.41     2343.55     27.8685   0.0290475
0.85   0.0243385    500     2452.45      2413.1     39.3563   0.0300172
0.85   0.0243385    600     2534.18     2480.55     53.6235   0.0312269
0.85   0.0243385    700     2616.86     2546.07     70.7851   0.0326882
0.85   0.0243385    800     2700.75     2609.87     90.8809   0.0344063
0.85   0.0243385    900     2785.96      2672.1      113.86   0.0363784
0.85   0.0243385   1000     2872.32     2732.77     139.549   0.0385908
0.85   0.0243385   1100     2959.59     2791.88     167.705    0.041024
0.85   0.0243385   1200      3047.8     2849.65     198.145    0.043663
0.85   0.0243385   1300     3136.87     2906.22     230.656   0.0464908
0.85   0.0243385   1400     3226.75     2961.68      265.07   0.0495028
0.85   0.0243385   1500     3317.35     3015.81     301.538   0.0527804
0.85   0.0243385   1600     3408.63     3066.84     341.787   0.0568065
0.85   0.0243385   1700     3500.53     3104.48     396.051   0.0640162
0.85   0.0243385   1800     3592.99     3084.34     508.645   0.0828878
0.85   0.0243385   1900     3685.97     3019.83     666.138    0.107717
0.85   0.0243385   2000     3779.41     2965.44     813.977    0.129098
0.85   0.0243385   2100     3873.29     2919.57      953.72    0.148417
0.85   0.0243385   2200     3967.55     2878.14     1089.41    0.166695
0.85   0.0243385   2300     4062.16     2887.39     1174.78    0.178193
0.85   0.0243385   2400     4157.09      2985.7     1171.39    0.178193
0.85   0.0243385   2500     4252.31      3084.1      1168.2    0.178193
0.85   0.0243385   2600     4347.77     3182.59     1165.18    0.178193
0.85   0.0243385   2700     4443.47     3281.16     1162.31    0.178193
0.85   0.0243385   2800     4539.37     3379.79     1159.58    0.178193
0.85   0.0243385   2900     4635.44     3478.48     1156.96    0.178193
0.85   0.0243385   3000     4731.69     3577.23     1154.46    0.178193
0.9   0.0257334    300     2370.09     2336.78     33.3173   0.0204491
0.9   0.0257334    400     2450.31     2404.16     46.1529   0.0215394
0.9   0.0257334    500     2531.04     2469.35     61.6865   0.0228649
0.9   0.0257334    600     2612.44     2532.52      79.921   0.0244277
0.9   0.0257334    700      2694.8     2593.97     100.836   0.0262275
0.9   0.0257334    800     2778.38     2653.99      124.39   0.0282621
0.9   0.0257334    900     2863.28     2712.78     150.491    0.030525
0.9   0.0257334   1000     2949.32     2770.36     178.952   0.0330009
0.9   0.0257334   1100     3036.28     2826.74     209.547    0.035672
0.9   0.0257334   1200      3124.2     2882.03     242.174   0.0385401
0.9   0.0257334   1300     3212.99     2935.98     277.011   0.0416893
0.9   0.0257334   1400      3302.6      2986.9     315.702    0.045578
0.9   0.0257334   1500     3392.94     3028.82      364.12   0.0515944
0.9   0.0257334   1600     3483.97     3019.41     464.567    0.068226
0.9   0.0257334   1700     3575.63      2951.2     624.433   0.0935821
0.9   0.0257334   1800     3667.86     2892.42     775.443    0.115391
0.9   0.0257334   1900     3760.61     2843.56      917.05    0.134916
0.9   0.0257334   2000     3853.85     2799.75     1054.09    0.153338
0.9   0.0257334   2100     3947.51     2759.06     1188.45    0.171094
0.9   0.0257334   2200     4041.57     2813.86     1227.71    0.176619
0.9   0.0257334   2300     4135.99        2912     1223.99    0.176619
0.9   0.0257334   2400     4230.73     3010.24     1220.48    0.176619
0.9   0.0257334   2500     4325.76     3108.59     1217.17    0.176619
0.9   0.0257334   2600     4421.04     3207.02     1214.03    0.176619
0.9   0.0257334   2700     4516.56     3305.52     1211.04    0.176619
0.9   0.0257334   2800     4612.29      3404.1     1208.19    0.176619
0.9   0.0257334   2900      4708.2     3502.73     1205.47    0.176619
0.9   0.0257334   3000     4804.28     3601.43     1202.85    0.176619
0.95   0.0271242    300     2446.69     2390.47     56.2165   0.0135013
0.95   0.0271242    400      2526.6     2453.56     73.0446    0.014947
0.95   0.0271242    500     2607.03     2514.76     92.2714    0.016606
0.95   0.0271242    600     2688.14     2574.31     113.833   0.0184742
0.95   0.0271242    700     2770.21     2632.51       137.7   0.0205501
0.95   0.0271242    800     2853.49     2689.64      163.85   0.0228334
0.95   0.0271242    900     2938.09     2745.85     192.246   0.0253261
0.95   0.0271242   1000     3023.84     2800.95     222.894   0.0280617
0.95   0.0271242   1100     3110.52     2854.04     256.478   0.0312581
0.95   0.0271242   1200     3198.16     2901.95     296.209   0.0357143
0.95   0.0271242   1300     3286.69     2937.18     349.506   0.0429733
0.95   0.0271242   1400     3376.04     2901.93     474.111   0.0635068
0.95   0.0271242   1500     3466.14     2818.66     647.478   0.0895965
0.95   0.0271242   1600     3556.93     2756.28     800.654    0.110895
0.95   0.0271242   1700     3648.36     2703.85     944.503    0.130251
0.95   0.0271242   1800     3740.37     2656.95     1083.42    0.148612
0.95   0.0271242   1900     3832.91     2615.22     1217.69    0.165993
0.95   0.0271242   2000     3925.93     2641.98     1283.95    0.175073
0.95   0.0271242   2100      4019.4      2739.8      1279.6    0.175073
0.95   0.0271242   2200     4113.26     2837.76     1275.51    0.175073
0.95   0.0271242   2300     4207.49     2935.83     1271.66    0.175073
0.95   0.0271242   2400     4302.04     3034.02     1268.03    0.175073
0.95   0.0271242   2500     4396.89      3132.3     1264.59    0.175073
0.95   0.0271242   2600        4492     3230.67     1261.33    0.175073
0.95   0.0271242   2700     4587.35     3329.12     1258.23    0.175073
0.95   0.0271242   2800     4682.91     3427.64     1255.27    0.175073
0.95   0.0271242   2900     4778.66     3526.22     1252.44    0.175073
0.95   0.0271242   3000     4874.58     3624.86     1249.72    0.175073
  1   0.0285111    300     2520.79     2428.95     91.8415  0.00783223
  1   0.0285111    400     2600.42     2489.16     111.262  0.00954474
  1   0.0285111    500     2680.58     2547.46     133.116   0.0115427
  1   0.0285111    600     2761.42     2603.06     158.358   0.0140645
  1   0.0285111    700     2843.21     2656.82     186.389   0.0169302
  1   0.0285111    800     2926.22     2705.82     220.398   0.0208555
  1   0.0285111    900     3010.54     2717.47     293.073    0.031931
  1   0.0285111   1000     3096.01     2308.21     787.803    0.102583
  1   0.0285111   1100     3182.42     2231.26     951.156    0.118119
  1   0.0285111   1200      3269.8     2192.08     1077.72    0.134773
  1   0.0285111   1300     3358.08     2047.07     1311.01    0.173419
  1   0.0285111   1400     3447.18      2082.4     1364.79    0.173554
  1   0.0285111   1500     3537.05     2179.02     1358.03    0.173554
  1   0.0285111   1600     3627.61     2275.87     1351.74    0.173554
  1   0.0285111   1700     3718.82     2372.94     1345.88    0.173554
  1   0.0285111   1800     3810.62     2470.21     1340.41    0.173554
  1   0.0285111   1900     3902.95     2567.65      1335.3    0.173554
  1   0.0285111   2000     3995.78     2665.26     1330.52    0.173554
  1   0.0285111   2100     4089.05     2763.02     1326.03    0.173554
  1   0.0285111   2200     4182.73     2860.91     1321.82    0.173554
  1   0.0285111   2300     4276.77     2958.92     1317.85    0.173554
  1   0.0285111   2400     4371.14     3057.05      1314.1    0.173554
  1   0.0285111   2500     4465.82     3155.27     1310.54    0.173554
  1   0.0285111   2600     4560.76     3253.59     1307.17    0.173554
  1   0.0285111   2700     4655.94     3351.98     1303.96    0.173554
  1   0.0285111   2800     4751.34     3450.45     1300.89    0.173554
  1   0.0285111   2900     4846.93     3548.98     1297.95    0.173554
  1   0.0285111   3000      4942.7     3647.57     1295.13    0.173554
1.05    0.029894    300     2492.46      2407.6     84.8585  0.00720339
1.05    0.029894    400     2572.23     2468.77     103.454  0.00882851
1.05    0.029894    500     2652.51     2528.16     124.356   0.0107005
1.05    0.029894    600     2733.46     2585.15     148.303   0.0130117
1.05    0.029894    700     2815.33     2639.93     175.395   0.0157578
1.05    0.029894    800     2898.38     2693.11     205.275   0.0188396
1.05    0.029894    900     2982.74     2723.45     259.288   0.0266549
1.05    0.029894   1000     3068.23     2622.42     445.805   0.0547019
1.05    0.029894   1100     3154.64     2157.67     996.976    0.129741
1.05    0.029894   1200     3242.02     2280.98     961.044    0.127053
1.05    0.029894   1300     3330.29     2050.85     1279.44    0.170376
1.05    0.029894   1400     3419.38     2125.13     1294.25     0.16278
1.05    0.029894   1500     3509.23     2169.74     1339.48    0.170593
1.05    0.029894   1600     3599.77     2266.59     1333.18    0.170593
1.05    0.029894   1700     3690.96     2363.65      1327.3    0.170593
1.05    0.029894   1800     3782.73     2460.91     1321.82    0.170593
1.05    0.029894   1900     3875.03     2558.35     1316.69    0.170593
1.05    0.029894   2000     3967.83     2655.94     1311.88    0.170593
1.05    0.029894   2100     4061.07     2753.69     1307.38    0.170593
1.05    0.029894   2200     4154.72     2851.57     1303.14    0.170593
1.05    0.029894   2300     4248.73     2949.58     1299.15    0.170593
1.05    0.029894   2400     4343.07     3047.69     1295.38    0.170593
1.05    0.029894   2500     4437.72     3145.91     1291.81    0.170593
1.05    0.029894   2600     4532.63     3244.21     1288.42    0.170593
1.05    0.029894   2700     4627.79      3342.6     1285.19    0.170593
1.05    0.029894   2800     4723.16     3441.06     1282.11    0.170593
1.05    0.029894   2900     4818.73     3539.58     1279.15    0.170593
1.05    0.029894   3000     4914.48     3638.16     1276.32    0.170593
1.1    0.031273    300     2464.87      2386.5     78.3786  0.00662398
1.1    0.031273    400     2544.79     2448.61     96.1825  0.00816896
1.1    0.031273    500      2625.2     2508.98     116.227   0.0099387
1.1    0.031273    600     2706.25     2567.32     138.926   0.0120454
1.1    0.031273    700      2788.2     2623.15     165.049   0.0146643
1.1    0.031273    800     2871.31     2677.34     193.962    0.017615
1.1    0.031273    900      2955.7     2719.78      235.92   0.0231087
1.1    0.031273   1000     3041.21      2693.5      347.71   0.0402781
1.1    0.031273   1100     3127.63     2167.25     960.385    0.125446
1.1    0.031273   1200     3215.01     2111.06     1103.96     0.14489
1.1    0.031273   1300     3303.28     2053.83     1249.45    0.167407
1.1    0.031273   1400     3392.36     2173.47     1218.89     0.15138
1.1    0.031273   1500     3482.19     2160.73     1321.46    0.167732
1.1    0.031273   1600     3572.72     2257.57     1315.15    0.167732
1.1    0.031273   1700     3663.88     2354.63     1309.25    0.167732
1.1    0.031273   1800     3755.63     2451.88     1303.75    0.167732
1.1    0.031273   1900     3847.91      2549.3     1298.61    0.167732
1.1    0.031273   2000     3940.68     2646.89     1293.79    0.167732
1.1    0.031273   2100     4033.89     2744.63     1289.26    0.167732
1.1    0.031273   2200     4127.51     2842.51     1285.01    0.167732
1.1    0.031273   2300      4221.5      2940.5        1281    0.167732
1.1    0.031273   2400     4315.82     3038.61     1277.21    0.167732
1.1    0.031273   2500     4410.43     3136.81     1273.62    0.167732
1.1    0.031273   2600     4505.32     3235.11     1270.21    0.167732
1.1    0.031273   2700     4600.46     3333.49     1266.97    0.167732
1.1    0.031273   2800     4695.81     3431.94     1263.87    0.167732
1.1    0.031273   2900     4791.36     3530.45      1260.9    0.167732
1.1    0.031273   3000     4887.08     3629.03     1258.05    0.167732
1.15   0.0326481    300     2438.01     2365.65     72.3675  0.00608988
1.15   0.0326481    400     2518.07     2428.67     89.4064  0.00755975
1.15   0.0326481    500     2598.61     2489.96     108.651  0.00924133
1.15   0.0326481    600     2679.76     2549.42     130.344   0.0112026
1.15   0.0326481    700     2761.79     2606.41     155.383   0.0136615
1.15   0.0326481    800     2844.96     2661.52     183.443   0.0165071
1.15   0.0326481    900     2929.39     2711.04      218.35   0.0205875
1.15   0.0326481   1000     3014.93     2720.02     294.911   0.0321946
1.15   0.0326481   1100     3101.36     2251.55     849.815    0.109583
1.15   0.0326481   1200     3188.75     2233.94     954.807    0.119285
1.15   0.0326481   1300     3277.01     2056.18     1220.83    0.164505
1.15   0.0326481   1400     3366.09      2095.8     1270.29    0.164884
1.15   0.0326481   1500     3455.91     2151.97     1303.94    0.164965
1.15   0.0326481   1600     3546.42     2248.81     1297.61    0.164965
1.15   0.0326481   1700     3637.57     2345.86     1291.71    0.164965
1.15   0.0326481   1800     3729.29      2443.1     1286.19    0.164965
1.15   0.0326481   1900     3821.55     2540.52     1281.03    0.164965
1.15   0.0326481   2000      3914.3      2638.1      1276.2    0.164965
1.15   0.0326481   2100     4007.49     2735.83     1271.66    0.164965
1.15   0.0326481   2200     4101.08     2833.69     1267.39    0.164965
1.15   0.0326481   2300     4195.04     2931.68     1263.36    0.164965
1.15   0.0326481   2400     4289.34     3029.78     1259.56    0.164965
1.15   0.0326481   2500     4383.93     3127.98     1255.95    0.164965
1.15   0.0326481   2600      4478.8     3226.27     1252.53    0.164965
1.15   0.0326481   2700     4573.91     3324.64     1249.27    0.164965
1.15   0.0326481   2800     4669.24     3423.08     1246.16    0.164965
1.15   0.0326481   2900     4764.77     3521.59     1243.18    0.164965
1.15   0.0326481   3000     4860.48     3620.16     1240.32    0.164965
1.2   0.0340193    300     2411.84     2345.05     66.7936  0.00559749
1.2   0.0340193    400     2492.05     2408.96     83.0903  0.00699607
1.2   0.0340193    500     2572.72     2471.14     101.574  0.00859836
1.2   0.0340193    600     2653.97     2531.58     122.394    0.010447
1.2   0.0340193    700     2736.08     2589.76     146.318    0.012734
1.2   0.0340193    800     2819.31     2645.91       173.4   0.0154441
1.2   0.0340193    900     2903.78     2699.56      204.22      0.0187
1.2   0.0340193   1000     2989.35     2727.81     261.538   0.0270303
1.2   0.0340193   1100      3075.8     2577.07     498.722   0.0617691
1.2   0.0340193   1200     3163.19     2290.04     873.153    0.105911
1.2   0.0340193   1300     3251.46     2053.86      1197.6    0.159385
1.2   0.0340193   1400     3340.53      2100.7     1239.83    0.162141
1.2   0.0340193   1500     3430.34     2143.45     1286.89    0.162287
1.2   0.0340193   1600     3520.84     2240.28     1280.56    0.162287
1.2   0.0340193   1700     3611.98     2337.33     1274.65    0.162287
1.2   0.0340193   1800     3703.68     2434.56     1269.12    0.162287
1.2   0.0340193   1900     3795.92     2531.98     1263.95    0.162287
1.2   0.0340193   2000     3888.65     2629.55      1259.1    0.162287
1.2   0.0340193   2100     3981.82     2727.27     1254.54    0.162287
1.2   0.0340193   2200     4075.39     2825.13     1250.26    0.162287
1.2   0.0340193   2300     4169.33     2923.11     1246.22    0.162287
1.2   0.0340193   2400      4263.6      3021.2      1242.4    0.162287
1.2   0.0340193   2500     4358.17     3119.39     1238.78    0.162287
1.2   0.0340193   2600     4453.02     3217.67     1235.34    0.162287
1.2   0.0340193   2700     4548.11     3316.04     1232.07    0.162287
1.2   0.0340193   2800     4643.42     3414.48     1228.95    0.162287
1.2   0.0340193   2900     4738.94     3512.98     1225.96    0.162287
1.2   0.0340193   3000     4834.63     3611.54     1223.09    0.162287
1.25   0.0353866    300     2386.33     2324.71     61.6276  0.00514364
1.25   0.0353866    400     2466.68     2389.48     77.2031  0.00647404
1.25   0.0353866    500     2547.49     2452.53     94.9548  0.00800299
1.25   0.0353866    600     2628.85     2513.87     114.979  0.00975815
1.25   0.0353866    700     2711.04     2573.29     137.745   0.0118577
1.25   0.0353866    800     2794.33     2630.39     163.932   0.0144522
1.25   0.0353866    900     2878.85      2685.7     193.145   0.0174261
1.25   0.0353866   1000     2964.44     2726.14     238.301   0.0235026
1.25   0.0353866   1100     3050.91     2678.75     372.156   0.0437591
1.25   0.0353866   1200     3138.31     2278.54     859.767    0.105907
1.25   0.0353866   1300     3226.58        2199     1027.58    0.135896
1.25   0.0353866   1400     3315.66     2103.52     1212.14    0.159473
1.25   0.0353866   1500     3405.47     2140.38     1265.09    0.159689
1.25   0.0353866   1600     3495.96     2231.99     1263.97    0.159696
1.25   0.0353866   1700     3587.08     2329.03     1258.05    0.159696
1.25   0.0353866   1800     3678.77     2426.26     1252.51    0.159696
1.25   0.0353866   1900        3771     2523.67     1247.33    0.159696
1.25   0.0353866   2000      3863.7     2621.24     1242.47    0.159696
1.25   0.0353866   2100     3956.85     2718.95      1237.9    0.159696
1.25   0.0353866   2200      4050.4      2816.8      1233.6    0.159696
1.25   0.0353866   2300     4144.32     2914.78     1229.55    0.159696
1.25   0.0353866   2400     4238.57     3012.86     1225.72    0.159696
1.25   0.0353866   2500     4333.13     3111.04     1222.08    0.159696
1.25   0.0353866   2600     4427.96     3209.32     1218.64    0.159696
1.25   0.0353866   2700     4523.03     3307.68     1215.35    0.159696
1.25   0.0353866   2800     4618.33     3406.11     1212.22    0.159696
1.25   0.0353866   2900     4713.83     3504.61     1209.22    0.159696
1.25   0.0353866   3000     4809.51     3603.17     1206.34    0.159696
1.3   0.0367501    300     2361.46     2304.62     56.8423   0.0047254
1.3   0.0367501    400     2441.96     2370.24     71.7168  0.00599037
1.3   0.0367501    500     2522.89     2434.13     88.7599  0.00745029
1.3   0.0367501    600     2604.36     2496.32      108.04  0.00912394
1.3   0.0367501    700     2686.63     2556.78     129.858    0.011087
