Temperature (K);Pressure (MPa);Density (l. kg/m3);Viscosity (l. Pa*s);Therm. Cond. (l. W/m*K);Surf. Tension (l. N/m);Density (v. kg/m3);Viscosity (v. Pa*s);Therm. Cond. (v. W/m*K)
338.592;1.71;1141.76;0.000120275;0.0532471;0.00385913;101.452;1.40E-05;0.0138464
338.869;1.72;1140.38;0.000119866;0.053151;0.00383;102.132;1.40E-05;0.0138814
339.145;1.73;1138.99;0.000119459;0.0530552;0.00380104;102.814;1.40E-05;0.0139165
339.419;1.74;1137.61;0.000119054;0.0529599;0.00377224;103.497;1.40E-05;0.0139518
339.692;1.75;1136.23;0.000118652;0.0528649;0.00374362;104.182;1.40E-05;0.0139872
339.964;1.76;1134.85;0.000118251;0.0527702;0.00371516;104.869;1.41E-05;0.0140227
340.235;1.77;1133.47;0.000117853;0.0526759;0.00368687;105.558;1.41E-05;0.0140583
340.505;1.78;1132.09;0.000117456;0.052582;0.00365874;106.249;1.41E-05;0.014094
340.774;1.79;1130.71;0.000117062;0.0524884;0.00363078;106.941;1.41E-05;0.0141298
341.042;1.8;1129.34;0.00011667;0.0523951;0.00360297;107.635;1.42E-05;0.0141658
341.308;1.81;1127.96;0.000116279;0.0523022;0.00357532;108.331;1.42E-05;0.0142019
341.574;1.82;1126.59;0.000115891;0.0522097;0.00354784;109.029;1.42E-05;0.0142381
341.838;1.83;1125.21;0.000115505;0.0521174;0.0035205;109.729;1.42E-05;0.0142745
342.101;1.84;1123.84;0.00011512;0.0520255;0.00349332;110.43;1.43E-05;0.0143109
342.364;1.85;1122.47;0.000114738;0.0519339;0.0034663;111.134;1.43E-05;0.0143476
342.625;1.86;1121.1;0.000114357;0.0518427;0.00343943;111.839;1.43E-05;0.0143843
342.885;1.87;1119.73;0.000113978;0.0517517;0.00341271;112.546;1.43E-05;0.0144212
343.144;1.88;1118.36;0.000113601;0.0516611;0.00338614;113.256;1.44E-05;0.0144582
343.402;1.89;1117;0.000113226;0.0515708;0.00335971;113.967;1.44E-05;0.0144954
343.659;1.9;1115.63;0.000112852;0.0514808;0.00333344;114.68;1.44E-05;0.0145327
343.915;1.91;1114.26;0.000112481;0.0513911;0.00330731;115.395;1.44E-05;0.0145702
344.171;1.92;1112.9;0.000112111;0.0513017;0.00328132;116.112;1.44E-05;0.0146078
344.425;1.93;1111.53;0.000111742;0.0512126;0.00325548;116.831;1.45E-05;0.0146456
344.678;1.94;1110.17;0.000111376;0.0511238;0.00322978;117.552;1.45E-05;0.0146835
344.93;1.95;1108.8;0.000111011;0.0510353;0.00320423;118.276;1.45E-05;0.0147216
345.181;1.96;1107.44;0.000110647;0.0509471;0.00317881;119.001;1.45E-05;0.0147598
345.432;1.97;1106.08;0.000110285;0.0508592;0.00315353;119.728;1.46E-05;0.0147982
345.681;1.98;1104.71;0.000109925;0.0507715;0.00312839;120.458;1.46E-05;0.0148368
345.929;1.99;1103.35;0.000109567;0.0506842;0.00310338;121.189;1.46E-05;0.0148755
346.177;2;1101.99;0.00010921;0.0505971;0.00307852;121.923;1.46E-05;0.0149144
346.424;2.01;1100.63;0.000108854;0.0505103;0.00305378;122.659;1.47E-05;0.0149534
346.669;2.02;1099.26;0.0001085;0.0504238;0.00302918;123.397;1.47E-05;0.0149926
346.914;2.03;1097.9;0.000108148;0.0503376;0.00300471;124.137;1.47E-05;0.015032
347.158;2.04;1096.54;0.000107796;0.0502516;0.00298038;124.88;1.47E-05;0.0150716
347.401;2.05;1095.18;0.000107447;0.0501659;0.00295617;125.624;1.48E-05;0.0151114
347.643;2.06;1093.82;0.000107099;0.0500805;0.00293209;126.371;1.48E-05;0.0151513
347.884;2.07;1092.46;0.000106752;0.0499953;0.00290815;127.121;1.48E-05;0.0151914
348.124;2.08;1091.09;0.000106407;0.0499104;0.00288433;127.872;1.48E-05;0.0152317
348.364;2.09;1089.73;0.000106063;0.0498258;0.00286063;128.626;1.49E-05;0.0152722
348.603;2.1;1088.37;0.00010572;0.0497414;0.00283707;129.382;1.49E-05;0.0153129
348.84;2.11;1087.01;0.000105379;0.0496573;0.00281362;130.141;1.49E-05;0.0153538
349.077;2.12;1085.65;0.000105039;0.0495734;0.0027903;130.901;1.49E-05;0.0153949
349.314;2.13;1084.28;0.0001047;0.0494898;0.00276711;131.665;1.50E-05;0.0154362
349.549;2.14;1082.92;0.000104363;0.0494064;0.00274403;132.43;1.50E-05;0.0154777
349.783;2.15;1081.56;0.000104027;0.0493233;0.00272108;133.198;1.50E-05;0.0155193
350.017;2.16;1080.19;0.000103692;0.0492405;0.00269825;133.969;1.50E-05;0.0155612
350.25;2.17;1078.83;0.000103358;0.0491578;0.00267554;134.742;1.51E-05;0.0156033
350.482;2.18;1077.47;0.000103026;0.0490754;0.00265294;135.517;1.51E-05;0.0156457
350.713;2.19;1076.1;0.000102695;0.0489933;0.00263047;136.295;1.51E-05;0.0156882
350.944;2.2;1074.74;0.000102365;0.0489114;0.00260811;137.076;1.52E-05;0.0157309
351.173;2.21;1073.37;0.000102036;0.0488297;0.00258587;137.859;1.52E-05;0.0157739
351.402;2.22;1072.01;0.000101709;0.0487483;0.00256374;138.645;1.52E-05;0.0158171
351.63;2.23;1070.64;0.000101382;0.0486671;0.00254173;139.433;1.52E-05;0.0158605
351.858;2.24;1069.27;0.000101057;0.0485861;0.00251983;140.224;1.53E-05;0.0159042
352.085;2.25;1067.9;0.000100733;0.0485054;0.00249805;141.018;1.53E-05;0.0159481
352.31;2.26;1066.53;0.00010041;0.0484248;0.00247638;141.814;1.53E-05;0.0159922
352.536;2.27;1065.16;0.000100088;0.0483446;0.00245482;142.613;1.53E-05;0.0160365
352.76;2.28;1063.79;9.98E-05;0.0482645;0.00243337;143.415;1.54E-05;0.0160812
352.984;2.29;1062.42;9.94E-05;0.0481847;0.00241203;144.22;1.54E-05;0.016126
353.206;2.3;1061.05;9.91E-05;0.0481051;0.0023908;145.027;1.54E-05;0.0161711
353.429;2.31;1059.68;9.88E-05;0.0480257;0.00236968;145.837;1.55E-05;0.0162165
353.65;2.32;1058.3;9.85E-05;0.0479465;0.00234867;146.65;1.55E-05;0.0162621
353.871;2.33;1056.93;9.82E-05;0.0478676;0.00232777;147.466;1.55E-05;0.0163079
354.091;2.34;1055.55;9.79E-05;0.0477888;0.00230697;148.285;1.55E-05;0.0163541
354.31;2.35;1054.17;9.75E-05;0.0477103;0.00228628;149.106;1.56E-05;0.0164005
354.529;2.36;1052.79;9.72E-05;0.047632;0.0022657;149.931;1.56E-05;0.0164471
354.747;2.37;1051.41;9.69E-05;0.047554;0.00224522;150.759;1.56E-05;0.0164941
354.964;2.38;1050.03;9.66E-05;0.0474761;0.00222484;151.589;1.57E-05;0.0165413
355.181;2.39;1048.65;9.63E-05;0.0473984;0.00220457;152.423;1.57E-05;0.0165888
355.396;2.4;1047.27;9.60E-05;0.047321;0.00218441;153.26;1.57E-05;0.0166365
355.612;2.41;1045.88;9.57E-05;0.0472438;0.00216434;154.1;1.57E-05;0.0166846
355.826;2.42;1044.49;9.54E-05;0.0471668;0.00214438;154.943;1.58E-05;0.016733
356.04;2.43;1043.11;9.51E-05;0.04709;0.00212452;155.789;1.58E-05;0.0167816
356.253;2.44;1041.72;9.48E-05;0.0470134;0.00210476;156.638;1.58E-05;0.0168306
356.466;2.45;1040.33;9.45E-05;0.046937;0.0020851;157.491;1.59E-05;0.0168798
356.678;2.46;1038.93;9.42E-05;0.0468608;0.00206554;158.347;1.59E-05;0.0169294
356.889;2.47;1037.54;9.39E-05;0.0467848;0.00204608;159.206;1.59E-05;0.0169793
357.099;2.48;1036.14;9.36E-05;0.0467091;0.00202672;160.068;1.59E-05;0.0170295
357.309;2.49;1034.75;9.33E-05;0.0466335;0.00200745;160.934;1.60E-05;0.01708
357.519;2.5;1033.35;9.30E-05;0.0465582;0.00198829;161.803;1.60E-05;0.0171308
357.727;2.51;1031.95;9.27E-05;0.046483;0.00196922;162.676;1.60E-05;0.017182
357.935;2.52;1030.54;9.24E-05;0.0464081;0.00195025;163.552;1.61E-05;0.0172335
358.143;2.53;1029.14;9.21E-05;0.0463333;0.00193137;164.432;1.61E-05;0.0172853
358.349;2.54;1027.73;9.18E-05;0.0462588;0.00191259;165.315;1.61E-05;0.0173375
358.555;2.55;1026.32;9.15E-05;0.0461845;0.00189391;166.202;1.62E-05;0.01739
358.761;2.56;1024.91;9.12E-05;0.0461103;0.00187532;167.092;1.62E-05;0.0174429
358.966;2.57;1023.5;9.09E-05;0.0460364;0.00185682;167.986;1.62E-05;0.0174961
359.17;2.58;1022.09;9.06E-05;0.0459627;0.00183842;168.884;1.63E-05;0.0175497
359.374;2.59;1020.67;9.03E-05;0.0458892;0.00182011;169.786;1.63E-05;0.0176037
359.577;2.6;1019.25;9.00E-05;0.0458159;0.00180189;170.691;1.63E-05;0.017658
359.78;2.61;1017.83;8.97E-05;0.0457428;0.00178377;171.6;1.64E-05;0.0177128
359.981;2.62;1016.41;8.94E-05;0.0456699;0.00176574;172.513;1.64E-05;0.0177679
360.183;2.63;1014.98;8.91E-05;0.0455972;0.0017478;173.43;1.64E-05;0.0178233
360.384;2.64;1013.55;8.88E-05;0.0455247;0.00172995;174.351;1.65E-05;0.0178792
360.584;2.65;1012.12;8.85E-05;0.0454524;0.00171219;175.276;1.65E-05;0.0179355
360.783;2.66;1010.69;8.82E-05;0.0453804;0.00169452;176.205;1.65E-05;0.0179922
360.982;2.67;1009.25;8.79E-05;0.0453085;0.00167695;177.138;1.66E-05;0.0180493
361.181;2.68;1007.81;8.77E-05;0.0452369;0.00165946;178.075;1.66E-05;0.0181068
361.379;2.69;1006.37;8.74E-05;0.0451654;0.00164206;179.017;1.66E-05;0.0181647
361.576;2.7;1004.93;8.71E-05;0.0450942;0.00162475;179.962;1.67E-05;0.0182231
361.773;2.71;1003.48;8.68E-05;0.0450231;0.00160752;180.912;1.67E-05;0.0182819
361.969;2.72;1002.03;8.65E-05;0.0449523;0.00159039;181.866;1.67E-05;0.0183411
362.164;2.73;1000.58;8.62E-05;0.0448817;0.00157334;182.825;1.68E-05;0.0184008
362.359;2.74;999.123;8.59E-05;0.0448113;0.00155638;183.788;1.68E-05;0.018461
362.554;2.75;997.665;8.57E-05;0.0447412;0.00153951;184.756;1.68E-05;0.0185216
362.748;2.76;996.203;8.54E-05;0.0446712;0.00152272;185.728;1.69E-05;0.0185827
362.941;2.77;994.739;8.51E-05;0.0446015;0.00150602;186.705;1.69E-05;0.0186442
363.134;2.78;993.271;8.48E-05;0.044532;0.00148941;187.686;1.69E-05;0.0187063
363.327;2.79;991.801;8.45E-05;0.0444627;0.00147288;188.673;1.70E-05;0.0187688
363.518;2.8;990.327;8.42E-05;0.0443936;0.00145643;189.663;1.70E-05;0.0188318
363.71;2.81;988.849;8.40E-05;0.0443248;0.00144007;190.659;1.71E-05;0.0188954
363.901;2.82;987.368;8.37E-05;0.0442561;0.0014238;191.66;1.71E-05;0.0189594
364.091;2.83;985.884;8.34E-05;0.0441878;0.00140761;192.666;1.71E-05;0.019024
364.28;2.84;984.397;8.31E-05;0.0441196;0.0013915;193.677;1.72E-05;0.0190891
364.47;2.85;982.905;8.28E-05;0.0440517;0.00137548;194.692;1.72E-05;0.0191547
364.658;2.86;981.41;8.25E-05;0.043984;0.00135954;195.713;1.72E-05;0.0192209
364.846;2.87;979.912;8.23E-05;0.0439165;0.00134368;196.74;1.73E-05;0.0192877
365.034;2.88;978.409;8.20E-05;0.0438493;0.0013279;197.771;1.73E-05;0.019355
365.221;2.89;976.903;8.17E-05;0.0437824;0.00131221;198.808;1.74E-05;0.0194229
365.408;2.9;975.393;8.14E-05;0.0437157;0.0012966;199.851;1.74E-05;0.0194914
365.594;2.91;973.878;8.12E-05;0.0436492;0.00128107;200.899;1.74E-05;0.0195604
365.78;2.92;972.36;8.09E-05;0.043583;0.00126563;201.952;1.75E-05;0.0196301
365.965;2.93;970.838;8.06E-05;0.0435171;0.00125026;203.011;1.75E-05;0.0197004
366.149;2.94;969.311;8.03E-05;0.0434514;0.00123498;204.076;1.76E-05;0.0197714
366.334;2.95;967.78;8.00E-05;0.043386;0.00121977;205.147;1.76E-05;0.0198429
366.517;2.96;966.245;7.98E-05;0.0433208;0.00120465;206.224;1.76E-05;0.0199151
366.7;2.97;964.706;7.95E-05;0.043256;0.00118961;207.307;1.77E-05;0.019988
366.883;2.98;963.161;7.92E-05;0.0431914;0.00117465;208.396;1.77E-05;0.0200615
367.065;2.99;961.613;7.89E-05;0.0431271;0.00115976;209.491;1.78E-05;0.0201358
367.247;3;960.059;7.87E-05;0.0430631;0.00114496;210.592;1.78E-05;0.0202107
367.428;3.01;958.501;7.84E-05;0.0429994;0.00113024;211.7;1.78E-05;0.0202863
367.609;3.02;956.938;7.81E-05;0.0429359;0.0011156;212.814;1.79E-05;0.0203627
367.789;3.03;955.371;7.78E-05;0.0428728;0.00110103;213.935;1.79E-05;0.0204397
367.969;3.04;953.798;7.76E-05;0.04281;0.00108655;215.062;1.80E-05;0.0205176
368.148;3.05;952.22;7.73E-05;0.0427476;0.00107214;216.196;1.80E-05;0.0205962
368.327;3.06;950.637;7.70E-05;0.0426854;0.00105781;217.337;1.81E-05;0.0206755
368.505;3.07;949.048;7.67E-05;0.0426236;0.00104356;218.485;1.81E-05;0.0207557
368.683;3.08;947.455;7.65E-05;0.0425621;0.00102939;219.64;1.82E-05;0.0208367
368.861;3.09;945.855;7.62E-05;0.042501;0.0010153;220.802;1.82E-05;0.0209185
369.038;3.1;944.251;7.59E-05;0.0424402;0.00100128;221.972;1.82E-05;0.0210011
369.214;3.11;942.64;7.56E-05;0.0423798;0.000987344;223.149;1.83E-05;0.0210846
369.39;3.12;941.024;7.54E-05;0.0423198;0.000973483;224.333;1.83E-05;0.021169
369.566;3.13;939.402;7.51E-05;0.0422601;0.000959701;225.526;1.84E-05;0.0212542
369.741;3.14;937.774;7.48E-05;0.0422008;0.000945995;226.726;1.84E-05;0.0213404
369.916;3.15;936.139;7.45E-05;0.042142;0.000932367;227.934;1.85E-05;0.0214275
370.09;3.16;934.499;7.43E-05;0.0420835;0.000918816;229.15;1.85E-05;0.0215155
370.264;3.17;932.852;7.40E-05;0.0420255;0.000905342;230.374;1.86E-05;0.0216045
370.437;3.18;931.199;7.37E-05;0.0419679;0.000891945;231.606;1.86E-05;0.0216945
370.61;3.19;929.539;7.35E-05;0.0419107;0.000878624;232.848;1.87E-05;0.0217855
370.783;3.2;927.873;7.32E-05;0.041854;0.00086538;234.097;1.87E-05;0.0218776
